group	N	t1	t2	pr.g1	pr.g2	mean.corr1	mean.corr2	mean.diff
301	301	3	34.9994318167609	-2.28233861838854	0	0.97	0.739612108049676	-0.388104223985303	1.12771633203498
345	345	3	16.9777763429135	-1.53200282717131	0.01	0.9	0.720814714530747	-0.305707028077046	1.02652174260779
225	225	3	155.29810392547	-1.51573003123396	0	0.9	0.699538637284795	-0.286811514166541	0.986350151451337
44	44	3	66.9266091713529	-1.44197033607024	0	0.88	0.695823687297307	-0.27754998034278	0.973373667640087
67	67	3	11.5836851439133	-1.82635454143042	0.02	0.92	0.662557144609378	-0.305482077277507	0.968039221886886
809	809	3	51.944759418095	-0.861601645473335	0	0.79	0.712673361104537	-0.251203119969508	0.963876481074045
247	247	3	15.6251664280618	-1.66238930741407	0.01	0.91	0.679419484726036	-0.281687602307965	0.961107087034001
578	578	3	7.96046957197004	-6.85712393952996	0.02	1	0.674445558050719	-0.250063270883645	0.924508828934365
33	33	3	16.2778475610251	-1.66660385790715	0.01	0.91	0.749701168089654	-0.153160526641483	0.902861694731137
552	552	3	20.2064946127451	-1.61132750790485	0.01	0.91	0.649968305080895	-0.221783396192959	0.871751701273854
243	243	3	374.675194320586	-0.560382354201348	0	0.69	0.740988163452729	-0.129389082962327	0.870377246415056
152	152	4	18.5127446166484	-1.21130403734371	0	0.9	0.662154678078667	-0.182273881401995	0.844428559480663
198	198	3	15.4752561161032	-2.46687430260528	0.01	0.97	0.639927852333167	-0.197178562167195	0.837106414500361
426	426	3	11.9504312316979	-0.601527365906785	0.01	0.7	0.676985331632896	-0.147291459209419	0.824276790842314
373	373	3	23.3308253447172	-2.63132494850465	0	0.99	0.637934217004078	-0.176836853341679	0.814771070345756
62	62	7	59.7563475167513	-1.06598432346644	0	0.92	0.720100228597716	-0.093521868178138	0.813622096775854
510	510	4	15.8892867950527	-0.597737126617612	0	0.7	0.708732650276426	-0.104024731310625	0.812757381587051
151	151	4	25.8389281398019	-0.420284517094851	0	0.61	0.712170946650464	-0.0875793783352683	0.799750324985733
324	324	3	70.602329246265	0.29715869469806	0	0.41	0.807957060918797	0.0173276279874044	0.790629432931393
246	246	3	8.81264618093716	-0.63989728548077	0.02	0.71	0.647218823321377	-0.137215927818514	0.784434751139891
800	800	5	24.5679027566991	-0.768132302621572	0	0.82	0.679712156346014	-0.101432171926506	0.781144328272519
915	915	3	13.8311819671978	-0.3033119883643	0.01	0.61	0.697582377754143	-0.0822949240620732	0.779877301816216
314	314	4	15.8344859151647	-0.77230045658155	0	0.78	0.673564744526684	-0.104751181856715	0.778315926383399
206	206	3	14.9837105859399	-0.222664977047009	0.01	0.6	0.688134024815458	-0.0872615837123318	0.77539560852779
554	554	3	7.54324315831222	-0.183790550578741	0.02	0.6	0.698859661132537	-0.0706914897840382	0.769551150916575
404	404	4	19.9008370456516	-1.0023446912415	0	0.84	0.685374668125626	-0.0779312769799825	0.763305945105608
123	123	4	34.7168252216582	-0.600238749896083	0	0.7	0.657968562276909	-0.0938210246102591	0.751789586887168
729	729	3	26.7879704725636	-0.295796948344232	0	0.61	0.637890050941042	-0.108081713859547	0.745971764800589
53	53	4	24.8415753174703	0.0398246802817665	0	0.41	0.745461678395295	0.00480172391567392	0.740659954479621
589	589	3	15.7334403092411	-0.436150649259947	0.01	0.63	0.685106067548083	-0.0548738516697991	0.739979919217882
35	35	5	28.5331242694044	-0.186775715063822	0	0.55	0.716579178777546	-0.0124525557843171	0.729031734561863
287	287	3	15.8269421526707	-0.194130165901872	0.01	0.6	0.663121005972832	-0.0650015807522356	0.728122586725067
280	280	6	36.0968553922277	-0.507554558067251	0	0.69	0.6765604837393	-0.0485329805579148	0.725093464297214
387	387	4	65.1029088931804	-0.0028137780512808	0	0.42	0.712980229839848	-0.000724879766974745	0.713705109606823
2	2	3	10.0810819839571	-0.000277835420470731	0.02	0.53	0.711839954420793	-0.000127612603855113	0.711967567024648
193	193	7	32.0096950769582	-0.0663851627115329	0	0.49	0.707165487605256	-0.00403951744041645	0.711205005045673
319	319	5	29.4552142916415	-0.0665156861595582	0	0.5	0.702098211467693	-0.00735491555140448	0.709453127019097
109	109	4	19.5268246791522	0.0518227581932509	0	0.4	0.71037045514426	0.00344067100731153	0.706929784136949
157	157	7	41.898544265845	-0.153598209151964	0	0.53	0.696409257736679	-0.0101244733184968	0.706533731055176
73	73	3	20.1097908710706	0.073177058870519	0.01	0.51	0.721965343289374	0.0206460725651012	0.701319270724273
813	813	4	26.1003499141768	0.0228771779698064	0	0.41	0.702869956924871	0.00380341698634233	0.699066539938529
302	302	4	24.5691915118492	0.248267521618642	0	0.34	0.740903158110107	0.041969900004929	0.698933258105178
3	3	34	155.697673452657	0.175906872049755	0	0.39	0.701260052622458	0.00258700943020591	0.698673043192252
21	21	12	51.1842798788804	-0.837648438546073	0	0.76	0.659052839234272	-0.0352789303964154	0.694331769630687
264	264	3	11.6933244751698	-0.411641453706027	0.01	0.62	0.674607853102155	-0.0166723893123638	0.691280242414518
181	181	3	17.1064937390104	0.363902543963082	0.01	0.38	0.781212087954287	0.0902987116272544	0.690913376327033
173	173	5	32.9583293151236	0.130406171488479	0	0.46	0.700571836523474	0.0119685575938417	0.688603278929633
472	472	7	36.4184001380126	-0.569505588793176	0	0.7	0.642613487835683	-0.0419275885629267	0.68454107639861
202	202	5	23.9220475292988	0.346786779482768	0	0.35	0.711515935745297	0.0401024437144259	0.671413492030872
112	112	3	12.602366662217	0.197783728397218	0.01	0.47	0.704151184343079	0.0380333476743408	0.666117836668739
477	477	3	18.099889983571	0.376230948406301	0.01	0.38	0.723931152963975	0.0604062090103169	0.663524943953658
452	452	5	27.2904506286528	0.474997506859547	0	0.3	0.717742585217332	0.0544671078729117	0.66327547734442
79	79	7	50.3786813191477	0.830252305701914	0	0.22	0.724547547029446	0.0635107080199328	0.661036839009513
168	168	4	18.8276558980283	-0.0954919059101299	0	0.46	0.644085819291711	-0.0146956852131093	0.65878150450482
380	380	3	18.5132033736386	0.0338852103780994	0.01	0.52	0.662428037869135	0.00754775766494698	0.654880280204188
454	454	5	30.6088471153527	0.268411272955651	0	0.38	0.694148946964817	0.0404276404470447	0.653721306517772
394	394	6	34.8759466481584	0.434263655593576	0	0.31	0.697814450497547	0.0443840058101112	0.653430444687435
186	186	4	15.5214979574682	0.253129988997211	0	0.34	0.689925894706622	0.0373039655712829	0.652621929135339
